,name,t_wins,t_losses,t_nc,t_draws,total,rounds,kd,kd_round,win_p,sig_strikes,sig_strikes_att,rounds_per_fight,time_min,time_per_fight,sig_str_per_min,ground_control
54,Alexis Davis,6.0,5.0,0.0,0.0,11.0,29.0,0.0,0.0,0.5454545454545454,488.0,1137.0,2.6363636363636362,136.25,12.386363636363637,3.581651376146789,39.63333333333333
55,Alexis Dufresne,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,40.0,144.0,3.0,30.0,15.0,1.3333333333333333,11.116666666666665
56,Ali AlQaisi,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,73.0,172.0,3.0,30.0,15.0,2.433333333333333,7.916666666666667
57,Ali Bagautinov,4.0,3.0,0.0,0.0,7.0,23.0,2.0,0.08695652173913043,0.5714285714285714,323.0,761.0,3.2857142857142856,113.46666666666667,16.20952380952381,2.846650998824912,31.78333333333333
58,Alistair Overeem,12.0,7.0,0.0,0.0,19.0,42.0,10.0,0.23809523809523808,0.631578947368421,705.0,942.0,2.210526315789474,177.7166666666667,9.353508771929826,3.9669886523492446,47.93333333333333
59,Aljamain Sterling,11.0,3.0,0.0,0.0,14.0,36.0,0.0,0.0,0.7857142857142857,803.0,1584.0,2.5714285714285716,166.6,11.9,4.819927971188475,51.31666666666667
60,Allen Crowder,1.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,0.3333333333333333,27.0,69.0,1.3333333333333333,10.166666666666666,3.388888888888889,2.655737704918033,2.3666666666666667
61,Alonzo Menifield,2.0,2.0,0.0,0.0,4.0,7.0,1.0,0.14285714285714285,0.5,99.0,207.0,1.75,31.366666666666667,7.841666666666667,3.1562167906482466,11.149999999999999
62,Alptekin Ozkilic,1.0,3.0,0.0,0.0,4.0,10.0,0.0,0.0,0.25,190.0,588.0,2.5,49.833333333333336,12.458333333333334,3.812709030100334,12.5
63,Alvaro Herrera Mendoza,1.0,3.0,0.0,0.0,4.0,5.0,1.0,0.2,0.25,25.0,65.0,1.25,13.25,3.3125,1.8867924528301887,0.18333333333333332
64,Alvin Robinson,1.0,3.0,0.0,0.0,4.0,8.0,0.0,0.0,0.25,57.0,113.0,2.0,36.416666666666664,9.104166666666666,1.565217391304348,11.183333333333334
65,Amanda Cooper,2.0,4.0,0.0,0.0,6.0,11.0,0.0,0.0,0.3333333333333333,174.0,394.0,1.8333333333333333,49.050000000000004,8.175,3.547400611620795,16.96666666666667
66,Amanda Lemos,2.0,1.0,0.0,0.0,3.0,6.0,1.0,0.16666666666666666,0.6666666666666666,159.0,247.0,2.0,26.6,8.866666666666667,5.977443609022556,5.2666666666666675
67,Amanda Nunes,13.0,1.0,0.0,0.0,14.0,34.0,5.0,0.14705882352941177,0.9285714285714286,637.0,1241.0,2.4285714285714284,143.91666666666669,10.279761904761907,4.426172553561088,46.93333333333334
68,Amanda Ribas,4.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,1.0,186.0,413.0,2.25,39.516666666666666,9.879166666666666,4.706874736398144,14.850000000000001
69,Amaury Bitetti,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.5,8.0,15.0,1.5,15.216666666666667,7.608333333333333,0.5257393209200438,0.23333333333333334
70,Amir Sadollah,6.0,5.0,0.0,0.0,11.0,28.0,0.0,0.0,0.5454545454545454,621.0,1336.0,2.5454545454545454,131.96666666666667,11.996969696969698,4.705733771154332,18.433333333333334
71,Anderson Silva,17.0,6.0,0.0,0.0,24.0,59.0,18.0,0.3050847457627119,0.7083333333333334,779.0,1300.0,2.4583333333333335,254.43333333333334,10.60138888888889,3.061705751342853,13.183333333333334
72,Andre Ewell,4.0,2.0,0.0,0.0,6.0,18.0,1.0,0.05555555555555555,0.6666666666666666,394.0,961.0,3.0,87.48333333333333,14.580555555555556,4.503714993332063,3.8833333333333333
73,Andre Fili,9.0,6.0,0.0,0.0,15.0,37.0,4.0,0.10810810810810811,0.6,669.0,1839.0,2.466666666666667,171.35,11.423333333333334,3.9042894660052525,27.683333333333337
74,Andre Muniz,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,26.0,50.0,2.0,17.7,8.85,1.4689265536723164,5.383333333333333
75,Andre Roberts,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.5,0.5,12.0,23.0,1.0,3.566666666666667,1.7833333333333334,3.364485981308411,0.4666666666666667
76,Andre Soukhamthath,2.0,5.0,0.0,0.0,7.0,20.0,6.0,0.3,0.2857142857142857,266.0,604.0,2.857142857142857,96.1,13.728571428571428,2.7679500520291365,14.45
77,Andre Winner,2.0,4.0,0.0,0.0,6.0,14.0,2.0,0.14285714285714285,0.3333333333333333,169.0,505.0,2.3333333333333335,66.98333333333333,11.16388888888889,2.5230156755411794,7.766666666666667
78,Andrea Lee,3.0,3.0,0.0,0.0,6.0,18.0,0.0,0.0,0.5,502.0,1021.0,3.0,90.0,15.0,5.5777777777777775,18.516666666666666
79,Andreas Stahl,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,55.0,145.0,2.0,19.416666666666668,9.708333333333334,2.832618025751073,3.283333333333333
80,Andrei Arlovski,18.0,13.0,0.0,0.0,32.0,69.0,10.0,0.14492753623188406,0.5625,1030.0,2344.0,2.15625,288.70000000000005,9.021875000000001,3.567717353654312,26.55
81,Andrei Semenov,1.0,1.0,0.0,0.0,2.0,5.0,1.0,0.2,0.5,10.0,75.0,2.5,19.466666666666665,9.733333333333333,0.5136986301369864,4.2
82,Andrew Craig,3.0,4.0,0.0,0.0,7.0,18.0,2.0,0.1111111111111111,0.42857142857142855,205.0,512.0,2.5714285714285716,85.68333333333334,12.24047619047619,2.3925306360630225,12.200000000000001
83,Andrew Sanchez,5.0,3.0,0.0,0.0,8.0,22.0,3.0,0.13636363636363635,0.625,476.0,1081.0,2.75,104.06666666666666,13.008333333333333,4.573991031390134,32.31666666666666
84,Andy Ogle,1.0,5.0,0.0,0.0,6.0,16.0,1.0,0.0625,0.16666666666666666,163.0,363.0,2.6666666666666665,72.8,12.133333333333333,2.239010989010989,36.95
85,Angela Hill,7.0,9.0,0.0,0.0,16.0,45.0,3.0,0.06666666666666667,0.4375,1245.0,2508.0,2.8125,218.55,13.659375,5.696636925188744,22.25
86,Angela Magana,0.0,3.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,57.0,200.0,2.6666666666666665,37.2,12.4,1.532258064516129,7.983333333333333
87,Anistavio Medeiros,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,18.0,1.0,2.2,2.2,3.6363636363636362,0.0
88,Anna Elmose,0.0,2.0,0.0,0.0,2.0,4.0,1.0,0.25,0.0,69.0,139.0,2.0,18.766666666666666,9.383333333333333,3.676731793960924,4.133333333333333
89,Anthony Birchak,2.0,2.0,0.0,0.0,4.0,6.0,2.0,0.3333333333333333,0.5,88.0,251.0,1.5,22.083333333333336,5.520833333333334,3.984905660377358,3.2666666666666666
90,Anthony Christodoulou,0.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,40.0,150.0,2.5,18.299999999999997,9.149999999999999,2.185792349726776,0.7666666666666667
91,Anthony Hamilton,3.0,7.0,0.0,0.0,10.0,17.0,1.0,0.058823529411764705,0.3,246.0,375.0,1.7,62.883333333333326,6.288333333333332,3.9120063609859534,26.96666666666667
92,Anthony Hernandez,1.0,2.0,0.0,0.0,3.0,5.0,0.0,0.0,0.3333333333333333,76.0,148.0,1.6666666666666667,16.416666666666668,5.472222222222222,4.629441624365482,5.166666666666666
93,Anthony Ivy,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,40.0,95.0,2.0,15.983333333333333,7.991666666666666,2.502606882168926,5.833333333333333
94,Anthony Johnson,13.0,6.0,0.0,0.0,19.0,33.0,13.0,0.3939393939393939,0.6842105263157895,381.0,800.0,1.736842105263158,117.31666666666666,6.174561403508772,3.247620400625089,43.48333333333333
95,Anthony Lapsley,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,10.0,29.0,2.0,18.933333333333334,9.466666666666667,0.528169014084507,5.316666666666666
96,Anthony Njokuani,3.0,5.0,0.0,0.0,8.0,23.0,1.0,0.043478260869565216,0.375,427.0,950.0,2.875,112.86666666666667,14.108333333333334,3.783225044300059,2.016666666666667
97,Anthony Perosh,5.0,7.0,0.0,0.0,12.0,18.0,2.0,0.1111111111111111,0.4166666666666667,151.0,350.0,1.5,66.56666666666666,5.547222222222222,2.268402603905859,15.566666666666668
98,Anthony Pettis,10.0,9.0,0.0,0.0,19.0,48.0,4.0,0.08333333333333333,0.5263157894736842,719.0,1509.0,2.526315789473684,216.83333333333334,11.412280701754387,3.315910837817064,22.4
99,Anthony Rocco Martin,9.0,6.0,0.0,0.0,15.0,41.0,2.0,0.04878048780487805,0.6,511.0,1374.0,2.7333333333333334,190.73333333333335,12.715555555555557,2.6791331702202026,48.516666666666666
100,Anthony Smith,8.0,6.0,0.0,0.0,14.0,39.0,5.0,0.1282051282051282,0.5714285714285714,509.0,1068.0,2.7857142857142856,168.28333333333333,12.020238095238096,3.0246607903337623,9.799999999999999
101,Anthony Torres,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.5,24.0,49.0,1.0,6.783333333333333,3.3916666666666666,3.538083538083538,1.8833333333333333
102,Anton Kuivanen,1.0,2.0,0.0,0.0,3.0,8.0,0.0,0.0,0.3333333333333333,85.0,223.0,2.6666666666666665,37.483333333333334,12.494444444444445,2.267674522009782,8.316666666666668
103,Antoni Hardonk,4.0,4.0,0.0,0.0,8.0,14.0,3.0,0.21428571428571427,0.5,174.0,283.0,1.75,51.2,6.4,3.3984375,2.4166666666666665
104,Antonina Shevchenko,2.0,2.0,0.0,0.0,4.0,11.0,0.0,0.0,0.5,171.0,337.0,2.75,51.333333333333336,12.833333333333334,3.331168831168831,7.633333333333333
105,Antonio Arroyo,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,29.0,47.0,3.0,15.0,15.0,1.9333333333333333,5.05
106,Antonio Braga Neto,1.0,2.0,0.0,0.0,3.0,7.0,0.0,0.0,0.3333333333333333,40.0,120.0,2.3333333333333335,29.316666666666666,9.772222222222222,1.3644115974985787,11.55
107,Antonio Carlos Junior,7.0,4.0,0.0,0.0,12.0,29.0,0.0,0.0,0.5833333333333334,256.0,578.0,2.4166666666666665,133.95,11.1625,1.9111608809257188,63.78333333333334
108,Antonio Carvalho,2.0,2.0,0.0,0.0,4.0,8.0,1.0,0.125,0.5,104.0,353.0,2.0,34.28333333333333,8.570833333333333,3.0335439961108412,2.4499999999999997
109,Antonio Rodrigo Nogueira,5.0,6.0,0.0,0.0,11.0,22.0,4.0,0.18181818181818182,0.45454545454545453,264.0,647.0,2.0,93.29999999999998,8.48181818181818,2.8295819935691324,23.4
110,Antonio Silva,3.0,7.0,0.0,1.0,11.0,19.0,4.0,0.21052631578947367,0.2727272727272727,194.0,382.0,1.7272727272727273,67.26666666666665,6.1151515151515135,2.884043607532211,5.333333333333333
111,Anying Wang,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.5,13.0,50.0,1.0,9.833333333333332,4.916666666666666,1.322033898305085,0.5333333333333333
112,Ariane Carnelossi,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,72.0,186.0,3.0,11.933333333333334,11.933333333333334,6.033519553072626,0.6333333333333333
113,Ariane Lipski,2.0,2.0,0.0,0.0,4.0,10.0,1.0,0.1,0.5,155.0,492.0,2.5,46.46666666666667,11.616666666666667,3.335724533715925,13.25
114,Ariel Beck,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,35.0,102.0,2.0,7.883333333333333,7.883333333333333,4.439746300211417,0.15
115,Arjan Bhullar,3.0,1.0,0.0,0.0,4.0,11.0,1.0,0.09090909090909091,0.75,121.0,214.0,2.75,51.983333333333334,12.995833333333334,2.327669124719461,21.633333333333333
116,Arnold Allen,7.0,0.0,0.0,0.0,7.0,21.0,2.0,0.09523809523809523,1.0,317.0,772.0,3.0,99.36666666666667,14.195238095238096,3.19020462931902,15.35
117,Artem Lobov,2.0,5.0,0.0,0.0,7.0,23.0,0.0,0.0,0.2857142857142857,405.0,977.0,3.2857142857142856,115.0,16.428571428571427,3.5217391304347827,11.983333333333334
118,Ashlee Evans-Smith,3.0,4.0,0.0,0.0,7.0,17.0,0.0,0.0,0.42857142857142855,392.0,1098.0,2.4285714285714284,80.6,11.514285714285714,4.863523573200993,13.216666666666665
119,Ashley Yoder,2.0,5.0,0.0,0.0,7.0,21.0,1.0,0.047619047619047616,0.2857142857142857,311.0,777.0,3.0,105.0,15.0,2.961904761904762,31.73333333333333
120,Aspen Ladd,4.0,1.0,0.0,0.0,5.0,10.0,1.0,0.1,0.8,192.0,347.0,2.0,36.8,7.359999999999999,5.217391304347826,16.333333333333332
121,Augusto Montano,1.0,2.0,0.0,0.0,3.0,7.0,0.0,0.0,0.3333333333333333,118.0,256.0,2.3333333333333335,34.15,11.383333333333333,3.455344070278185,1.45
122,Augusto Sakai,4.0,1.0,0.0,0.0,5.0,15.0,1.0,0.06666666666666667,0.8,345.0,711.0,3.0,65.46666666666667,13.093333333333334,5.2698574338085535,7.35
123,Austin Arnett,1.0,3.0,0.0,0.0,4.0,11.0,0.0,0.0,0.25,206.0,483.0,2.75,53.8,13.45,3.828996282527881,7.1
124,Austin Hubbard,2.0,3.0,0.0,0.0,5.0,12.0,0.0,0.0,0.4,203.0,418.0,2.4,58.85,11.77,3.449447748513169,6.533333333333333
125,Austin Lingo,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,12.0,61.0,3.0,15.0,15.0,0.8,1.4166666666666667
126,BJ Penn,12.0,13.0,0.0,2.0,27.0,77.0,7.0,0.09090909090909091,0.4444444444444444,999.0,2101.0,2.8518518518518516,356.28333333333336,13.19567901234568,2.803948168592412,58.18333333333334
127,Barb Honchak,0.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,95.0,316.0,2.5,23.53333333333333,11.766666666666666,4.036827195467422,0.35
128,Bart Palaszewski,1.0,3.0,0.0,0.0,4.0,8.0,1.0,0.125,0.25,98.0,325.0,2.0,37.13333333333333,9.283333333333333,2.6391382405745065,0.4666666666666667
129,Bartosz Fabinski,3.0,2.0,0.0,0.0,5.0,11.0,0.0,0.0,0.6,107.0,153.0,2.2,48.733333333333334,9.746666666666666,2.19562243502052,39.983333333333334
130,Bas Rutten,2.0,0.0,0.0,0.0,2.0,5.0,1.0,0.2,1.0,49.0,90.0,2.5,20.25,10.125,2.419753086419753,0.0
131,Batgerel Danaa,1.0,1.0,0.0,0.0,2.0,4.0,1.0,0.25,0.5,102.0,263.0,2.0,18.016666666666666,9.008333333333333,5.661424606845514,0.15000000000000002
132,Bea Malecki,2.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,149.0,318.0,2.5,21.983333333333334,10.991666666666667,6.777862016679302,4.55
133,Bec Rawlings,2.0,5.0,0.0,0.0,7.0,18.0,0.0,0.0,0.2857142857142857,378.0,883.0,2.5714285714285716,84.43333333333334,12.061904761904762,4.4769048559020925,12.65
134,Belal Muhammad,8.0,3.0,0.0,0.0,11.0,31.0,0.0,0.0,0.7272727272727273,661.0,1560.0,2.8181818181818183,147.54999999999998,13.413636363636362,4.479837343273467,34.53333333333333
135,Ben Alloway,1.0,2.0,0.0,0.0,3.0,5.0,1.0,0.2,0.3333333333333333,31.0,63.0,1.6666666666666667,24.266666666666666,8.088888888888889,1.2774725274725276,1.9333333333333331
136,Ben Earwood,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,9.0,2.0,10.0,10.0,0.5,9.783333333333333
137,Ben Nguyen,4.0,3.0,0.0,0.0,7.0,14.0,3.0,0.21428571428571427,0.5714285714285714,210.0,524.0,2.0,59.78333333333333,8.54047619047619,3.512684694730973,6.383333333333333
138,Ben Rothwell,8.0,7.0,0.0,0.0,15.0,37.0,4.0,0.10810810810810811,0.5333333333333333,619.0,1463.0,2.466666666666667,163.01666666666665,10.867777777777777,3.7971577548307947,30.133333333333336
139,Ben Saunders,9.0,10.0,0.0,0.0,19.0,37.0,3.0,0.08108108108108109,0.47368421052631576,486.0,968.0,1.9473684210526316,150.45,7.918421052631579,3.2303090727816555,15.933333333333334
140,Ben Sosoli,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,31.0,114.0,2.0,16.466666666666665,8.233333333333333,1.882591093117409,0.0
141,Ben Wall,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,17.0,1.0,3.4,1.7,1.4705882352941178,0.0
142,Beneil Dariush,13.0,4.0,0.0,1.0,18.0,36.0,6.0,0.16666666666666666,0.7222222222222222,616.0,1243.0,2.0,154.58333333333334,8.587962962962964,3.984905660377358,59.71666666666666
143,Benito Lopez,2.0,1.0,0.0,0.0,3.0,7.0,1.0,0.14285714285714285,0.6666666666666666,139.0,331.0,2.3333333333333335,33.15,11.049999999999999,4.193061840120664,1.8666666666666667
