TDP_1,TDP_2,TD_1,TD_2,ctrl_1,ctrl_2,details,event_date,event_loc,event_name,f1_res,f2_res,fight_class,fight_result,fighter_name_1,fighter_name_2,judge_1,judge_2,judge_3,kd_1,kd_2,method,r1_TDP_1,r1_TDP_2,r1_TD_1,r1_TD_2,r1_ctrl_1,r1_ctrl_2,r1_rev_1,r1_rev_2,r1_sig_strP_1,r1_sig_strP_2,r1_sig_str_1,r1_sig_str_2,r1_sub_att_1,r1_sub_att_2,r1_tot_str_1,r1_tot_str_2,referee,rev_1,rev_2,round,sig_strP_1,sig_strP_2,sig_str_1,sig_str_2,sub_att_1,sub_att_2,time,time_format,tot_body_1,tot_body_2,tot_clinch_1,tot_clinch_2,tot_dist_1,tot_dist_2,tot_ground_1,tot_ground_2,tot_head_1,tot_head_2,tot_leg_1,tot_leg_2,tot_str_1,tot_str_2
100%,---,"1,1","0,0",0:59,0:00,Judge,"March 02, 2013","Saitama, Japan",UFC on FUEL TV: Silva vs. Stann,L,W,Middleweight Bout,"L,Riki Fukuda,W,Brad Tavares",Riki Fukuda,Brad Tavares,Barry Foley-28 - 29.,Junichiro Kamijo-28 - 29.,Charlie Keech-27 - 30.,0,0,Decision - Unanimous,100%,---,"1,1","0,0",0:39,0:00,0,0,39%,50%,"16,41","29,57",0,0,"17,43","35,63",Thomas Fan,0,0,3,40%,45%,"69,172","116,254",0,0,5:00,3 Rnd (5-5-5),"11,16","18,20","3,3","3,7","66,169","113,247","0,0","0,0","35,118","86,217","23,38","12,17","75,182","131,270"
50%,---,"3,6","0,0",11:14,0:02,Judge,"March 02, 2013","Saitama, Japan",UFC on FUEL TV: Silva vs. Stann,W,L,Welterweight Bout,"W,Dong Hyun Kim,""Stun Gun"",L,Siyar Bahadurzada,""The Great""",Dong Hyun Kim,Siyar Bahadurzada,Ben Cartlidge-27 - 30.,Barry Foley-27 - 30.,Charlie Keech-27 - 30.,0,0,Decision - Unanimous,33%,---,"1,3","0,0",2:42,0:02,0,0,60%,9%,"6,10","1,11",0,0,"72,76","1,11",Herb Dean,0,0,3,39%,20%,"23,58","5,24",1,0,5:00,3 Rnd (5-5-5),"6,6","0,2","0,0","0,0","6,12","4,21","17,46","1,3","16,51","4,20","1,1","1,2","182,221","25,45"
100%,41%,"1,1","5,12",3:09,8:59,Judge,"March 02, 2013","Saitama, Japan",UFC on FUEL TV: Silva vs. Stann,L,W,Featherweight Bout,"L,Mizuto Hirota,""Pugnus"",W,Rani Yahya",Mizuto Hirota,Rani Yahya,Ben Cartlidge-28 - 29.,Junichiro Kamijo-28 - 29.,Chris Watts-28 - 29.,0,0,Decision - Unanimous,---,75%,"0,0","3,4",0:50,3:20,0,0,0%,37%,"0,1","3,8",0,0,"3,5","55,61",Marc Goddard,0,0,3,28%,44%,"4,14","13,29",0,1,5:00,3 Rnd (5-5-5),"1,1","2,3","0,1","1,1","4,12","3,13","0,1","9,15","3,13","11,26","0,0","0,0","39,56","105,122"
60%,0%,"3,5","0,3",4:21,3:50,Judge,"March 02, 2013","Saitama, Japan",UFC on FUEL TV: Silva vs. Stann,W,L,Middleweight Bout,"W,Yushin Okami,""Thunder"",L,Hector Lombard",Yushin Okami,Hector Lombard,Charlie Keech-29 - 28.,Barry Foley-28 - 29.,Junichiro Kamijo-28 - 29.,0,0,Decision - Split,100%,0%,"2,2","0,2",2:01,0:23,0,0,42%,50%,"14,33","13,26",0,0,"29,49","31,46",Herb Dean,0,0,3,41%,50%,"37,89","45,89",0,0,5:00,3 Rnd (5-5-5),"9,9","12,14","8,8","4,6","25,75","40,81","4,6","1,2","24,74","30,71","4,6","3,4","65,120","109,158"
---,40%,"0,0","2,5",0:03,0:20,Judge,"March 02, 2013","Saitama, Japan",UFC on FUEL TV: Silva vs. Stann,L,W,Lightweight Bout,"L,Takanori Gomi,""The Fireball Kid"",W,Diego Sanchez,""Nightmare""",Takanori Gomi,Diego Sanchez,Barry Foley-28 - 29.,Ben Cartlidge-29 - 28.,Chris Watts-28 - 29.,0,0,Decision - Split,---,100%,"0,0","2,2",0:03,0:20,0,0,56%,53%,"28,50","22,41",0,1,"28,50","25,45",Marc Goddard,0,0,3,45%,44%,"81,180","65,145",0,1,5:00,3 Rnd (5-5-5),"29,36","24,31","0,0","0,0","81,180","65,145","0,0","0,0","48,135","29,100","4,9","12,14","81,180","68,149"
---,50%,"0,0","1,2",2:05,3:58,Punch to Head At Distance,"March 02, 2013","Saitama, Japan",UFC on FUEL TV: Silva vs. Stann,L,W,Heavyweight Bout,"L,Stefan Struve,""Skyscraper"",W,Mark Hunt,""Super Samoan""",Stefan Struve,Mark Hunt,,,,0,1,KO/TKO,---,---,"0,0","0,0",1:30,1:56,1,0,23%,41%,"4,17","7,17",0,0,"12,29","16,29",Herb Dean,1,1,3,35%,57%,"24,67","47,82",1,0,1:44,3 Rnd (5-5-5),"4,4","8,10","0,0","0,0","21,58","45,77","3,9","2,5","19,60","37,70","1,3","2,2","56,116","61,100"
0%,---,"0,2","0,0",0:37,0:54,Punch to Head At Distance,"March 02, 2013","Saitama, Japan",UFC on FUEL TV: Silva vs. Stann,W,L,Light Heavyweight Bout,"W,Wanderlei Silva,""The Axe Murderer"",L,Brian Stann,""All American""",Wanderlei Silva,Brian Stann,,,,2,1,KO/TKO,0%,---,"0,2","0,0",0:33,0:54,0,0,52%,59%,"24,46","31,52",0,0,"30,60","53,79",Marc Goddard,0,0,2,51%,56%,"43,83","43,76",0,0,4:08,5 Rnd (5-5-5-5-5),"5,6","9,12","8,13","12,20","30,65","31,56","5,5","0,0","37,76","23,51","1,1","11,13","49,97","65,103"
7%,80%,"1,13","4,5",5:27,5:08,Judge,"February 23, 2013","Anaheim, California, USA",UFC 157: Rousey vs Carmouche,L,W,Welterweight Bout,"L,Jon Manley,W,Neil Magny,""The Haitian Sensation""",Jon Manley,Neil Magny,Derek Cleary-27 - 30.,Cecil Peoples-27 - 30.,Michael Bell-28 - 29.,0,0,Decision - Unanimous,0%,---,"0,6","0,0",2:26,0:49,0,0,18%,70%,"5,27","19,27",0,0,"16,41","28,39",Herb Dean,0,1,3,20%,54%,"17,85","65,120",0,0,5:00,3 Rnd (5-5-5),"2,7","15,19","5,8","22,33","12,77","33,69","0,0","10,18","12,73","42,93","3,5","8,8","35,112","97,158"
100%,---,"1,1","0,0",2:35,0:00,Kneebar From Back Control      Suloev Stretch,"February 23, 2013","Anaheim, California, USA",UFC 157: Rousey vs Carmouche,W,L,Welterweight Bout,"W,Kenny Robertson,L,Brock Jardine,""The Machine""",Kenny Robertson,Brock Jardine,,,,0,0,Submission,100%,---,"1,1","0,0",2:35,0:00,0,0,69%,33%,"9,13","1,3",2,1,"27,32","1,3",John McCarthy,0,0,1,69%,33%,"9,13","1,3",2,1,2:57,3 Rnd (5-5-5),"0,0","0,0","0,0","0,0","1,3","1,3","8,10","0,0","8,12","0,2","1,1","1,1","27,32","1,3"
33%,23%,"1,3","3,13",6:39,2:07,Judge,"February 23, 2013","Anaheim, California, USA",UFC 157: Rousey vs Carmouche,W,L,Lightweight Bout,"W,Sam Stout,""Hands of Stone"",L,Caros Fodor,""The Future""",Sam Stout,Caros Fodor,Derek Cleary-29 - 28.,Mike Beltran-28 - 29.,Cecil Peoples-28 - 29.,0,0,Decision - Split,100%,33%,"1,1","1,3",3:29,0:28,0,0,48%,54%,"15,31","12,22",0,0,"36,54","30,40",Jason Herzog,0,0,3,38%,51%,"46,120","47,92",0,0,5:00,3 Rnd (5-5-5),"20,33","12,20","18,21","15,24","24,93","32,68","4,6","0,0","21,81","24,60","5,6","11,12","86,164","80,127"
