TDP_1,TDP_2,TD_1,TD_2,ctrl_1,ctrl_2,details,event_date,event_loc,event_name,f1_res,f2_res,fight_class,fight_result,fighter_name_1,fighter_name_2,judge_1,judge_2,judge_3,kd_1,kd_2,method,r1_TDP_1,r1_TDP_2,r1_TD_1,r1_TD_2,r1_ctrl_1,r1_ctrl_2,r1_rev_1,r1_rev_2,r1_sig_strP_1,r1_sig_strP_2,r1_sig_str_1,r1_sig_str_2,r1_sub_att_1,r1_sub_att_2,r1_tot_str_1,r1_tot_str_2,referee,rev_1,rev_2,round,sig_strP_1,sig_strP_2,sig_str_1,sig_str_2,sub_att_1,sub_att_2,time,time_format,tot_body_1,tot_body_2,tot_clinch_1,tot_clinch_2,tot_dist_1,tot_dist_2,tot_ground_1,tot_ground_2,tot_head_1,tot_head_2,tot_leg_1,tot_leg_2,tot_str_1,tot_str_2
---,---,"0,0","0,0",0:05,1:30,Judge,"August 03, 2019","Newark, New Jersey, USA",UFC Fight Night: Covington vs. Lawler,W,L,Women's Flyweight Bout,"W,Miranda Granger,""Danger"",L,Hannah Goldy,""24K""",Miranda Granger,Hannah Goldy,Jon Bilyk-27 - 30.,Dominic Carolei-27 - 30.,Munah Holland-27 - 30.,0,0,Decision - Unanimous,---,---,"0,0","0,0",0:05,1:20,0,0,43%,47%,"21,48","22,46",0,0,"37,67","25,50",Herb Dean,0,0,3,42%,33%,"61,143","55,166",0,0,5:00,3 Rnd (5-5-5),"8,12","20,34","14,26","12,21","47,117","43,145","0,0","0,0","31,91","20,102","22,40","15,30","77,162","58,170"
---,100%,"0,0","1,1",0:04,0:43,Armbar On Ground,"August 10, 2019","Montevideo, Uruguay",UFC Fight Night: Shevchenko vs. Carmouche 2,W,L,Women's Flyweight Bout,"W,Veronica Macedo,L,Polyana Viana,""Dama de Ferro""",Veronica Macedo,Polyana Viana,,,,0,0,Submission,---,100%,"0,0","1,1",0:04,0:43,1,0,100%,33%,"1,1","1,3",1,0,"1,1","1,3",Keith Peterson,1,0,1,100%,33%,"1,1","1,3",1,0,1:09,3 Rnd (5-5-5),"1,1","1,2","0,0","0,0","1,1","1,3","0,0","0,0","0,0","0,1","0,0","0,0","1,1","1,3"
100%,---,"4,4","0,0",10:49,0:05,Judge,"August 17, 2019","Anaheim, California, USA",UFC 241: Cormier vs. Miocic 2,W,L,Women's Flyweight Bout,"W,Sabina Mazo,""Colombian Queen"",L,Shana Dobson,""Danger""",Sabina Mazo,Shana Dobson,Luis Cobian-24 - 30.,Ron McCarthy-25 - 30.,Michael Bell-25 - 30.,0,0,Decision - Unanimous,100%,---,"2,2","0,0",4:24,0:02,0,0,65%,30%,"30,46","6,20",0,0,"72,102","14,31",Frank Trigg,0,0,3,63%,33%,"108,171","33,99",0,0,5:00,3 Rnd (5-5-5),"50,60","11,18","38,55","15,23","44,85","14,71","26,31","4,5","49,98","19,75","9,13","3,6","170,250","102,176"
---,0%,"0,0","0,5",1:04,0:22,Judge,"August 31, 2019","Shenzhen, Guangdong, China",UFC Fight Night: Andrade vs. Zhang,W,L,Women's Bantamweight Bout,"W,Karol Rosa,L,Lara Procopio",Karol Rosa,Lara Procopio,Garth Harriman-28 - 29.,Howard Hughes-27 - 30.,Albert Shen-29 - 28.,1,0,Decision - Split,---,0%,"0,0","0,2",0:00,0:22,0,0,44%,58%,"57,128","66,112",0,0,"60,131","69,115",Thomas Fan,0,0,3,48%,56%,"171,351","165,290",0,0,5:00,3 Rnd (5-5-5),"11,16","13,15","7,11","7,9","159,333","158,281","5,7","0,0","108,266","122,244","52,69","30,31","177,358","169,294"
25%,0%,"3,12","0,4",9:37,2:26,Judge,"September 07, 2019","Abu Dhabi, Abu Dhabi, United Arab Emirates",UFC 242: Khabib vs. Poirier,W,L,Lightweight Bout,"W,Don Madge,""Magic Man"",L,Fares Ziam,""Smile Killer""",Don Madge,Fares Ziam,Ben Cartlidge-27 - 30.,Mark Collett-27 - 30.,David Lethaby-28 - 29.,0,0,Decision - Unanimous,0%,0%,"0,5","0,3",2:23,1:28,0,0,41%,20%,"5,12","2,10",0,0,"21,29","30,41",Peter Hickmott,0,0,3,42%,32%,"21,49","10,31",0,0,5:00,3 Rnd (5-5-5),"6,7","1,2","3,8","2,4","8,27","8,25","10,14","0,2","11,36","6,26","4,6","3,3","72,111","70,96"
0%,60%,"0,1","3,5",0:48,5:42,Judge,"September 14, 2019","Vancouver, British Columbia, Canada",UFC Fight Night: Cowboy vs. Gaethje,L,W,Lightweight Bout,"L,Kyle Prepolec,W,Austin Hubbard,""Thud""",Kyle Prepolec,Austin Hubbard,Michael Bell-28 - 29.,Clayton Weich-28 - 29.,David Therien-28 - 29.,0,0,Decision - Unanimous,---,---,"0,0","0,0",0:00,0:00,0,0,40%,29%,"28,70","17,57",0,0,"28,70","17,57",Kevin Dornan,0,0,3,36%,45%,"44,122","51,112",0,0,5:00,3 Rnd (5-5-5),"9,19","14,26","2,2","0,0","42,120","41,100","0,0","10,12","23,88","20,68","12,15","17,18","46,124","136,239"
66%,---,"4,6","0,0",13:20,0:48,Judge,"September 21, 2019","Mexico City, Distrito Federal, Mexico",UFC Fight Night: Rodriguez vs. Stephens,W,L,Lightweight Bout,"W,Claudio Puelles,""El Nino"",L,Marcos Mariano,""Dhalsim""",Claudio Puelles,Marcos Mariano,Derek Cleary-25 - 30.,Brian Puccillo-25 - 30.,Bladimir Puga-25 - 30.,0,0,Decision - Unanimous,50%,---,"2,4","0,0",3:41,0:48,0,0,80%,20%,"4,5","1,5",1,0,"23,24","1,5",Fernando Salas Navarro,0,0,3,64%,22%,"22,34","2,9",2,0,5:00,3 Rnd (5-5-5),"1,2","2,3","0,0","0,0","1,5","2,8","21,29","0,1","21,32","0,6","0,0","0,0","101,116","5,12"
57%,---,"4,7","0,0",6:31,0:40,Rear Naked Choke,"September 28, 2019","Copenhagen, Denmark",UFC Fight Night: Hermansson vs. Cannonier,W,L,Bantamweight Bout,"W,Jack Shore,""Tank"",L,Nohelin Hernandez,""Suave""",Jack Shore,Nohelin Hernandez,,,,0,0,Submission,33%,---,"1,3","0,0",2:23,0:00,0,0,46%,25%,"21,45","2,8",0,0,"32,64","3,9",Mikkel Birch Olsen,0,1,3,50%,16%,"46,92","6,36",1,0,2:51,3 Rnd (5-5-5),"2,2","0,0","3,4","2,4","26,58","4,32","17,30","0,0","33,76","5,34","11,14","1,2","81,139","9,39"
0%,18%,"0,1","2,11",0:39,6:59,Arm Triangle From Side Control,"October 05, 2019","Melbourne, Victoria, Australia",UFC 243: Whittaker vs. Adesanya,NC,NC,Bantamweight Bout,"NC,Khalid Taha,""The Warrior"",NC,Bruno Silva,""Bulldog""",Khalid Taha,Bruno Silva,,,,1,0,Submission,0%,0%,"0,1","0,4",0:00,1:13,0,0,27%,40%,"12,43","9,22",0,0,"24,55","26,39",Greg Kleynjans,0,0,3,43%,40%,"38,88","20,50",1,0,3:00,3 Rnd (5-5-5),"4,11","8,11","6,7","1,1","19,62","10,31","13,19","9,18","29,69","9,33","5,8","3,6","74,127","51,88"
50%,100%,"1,2","1,1",1:52,0:21,Judge,"October 12, 2019","Tampa, Florida, USA",UFC Fight Night: Joanna vs. Waterson,W,L,Women's Flyweight Bout,"W,JJ Aldrich,L,Lauren Mueller,""Princess Tiger""",JJ Aldrich,Lauren Mueller,Tony Weeks-27 - 30.,Chris Lee-28 - 29.,Michelle Olney-28 - 29.,0,0,Decision - Unanimous,100%,100%,"1,1","1,1",1:30,0:12,0,0,44%,36%,"11,25","9,25",0,0,"13,27","11,27",Kevin MacDonald,0,0,3,46%,36%,"74,160","54,147",0,0,5:00,3 Rnd (5-5-5),"10,11","10,20","4,9","2,2","70,151","52,145","0,0","0,0","59,142","34,117","5,7","10,10","78,164","60,153"
---,---,"0,0","0,0",0:00,0:00,Judge,"October 18, 2019","Boston, Massachusetts, USA",UFC Fight Night: Reyes vs. Weidman,L,W,Heavyweight Bout,"L,Daniel Spitz,W,Tanner Boser,""The Bulldozer""",Daniel Spitz,Tanner Boser,Eric Colon-27 - 30.,Nick Mahmood-27 - 30.,Dave Tirelli-27 - 30.,0,0,Decision - Unanimous,---,---,"0,0","0,0",0:00,0:00,0,0,18%,58%,"4,22","20,34",0,0,"4,22","20,34",Gary Forman,0,0,3,29%,61%,"32,108","93,151",0,0,5:00,3 Rnd (5-5-5),"6,16","25,27","0,0","0,0","32,108","93,151","0,0","0,0","20,83","33,86","6,9","35,38","32,108","93,151"
---,---,"0,0","0,0",0:06,1:16,Judge,"October 26, 2019","Kallang, Singapore",UFC Fight Night: Maia vs. Askren,W,L,Heavyweight Bout,"W,Raphael Pessoa,""Bebezao"",L,Jeff Hughes,""Lights Out""",Raphael Pessoa,Jeff Hughes,Howard Hughes-27 - 30.,Evan Field-27 - 30.,Takeo Kobayashi-27 - 30.,1,0,Decision - Unanimous,---,---,"0,0","0,0",0:02,0:00,0,0,25%,40%,"14,56","11,27",0,0,"14,56","11,27",Thomas Fan,0,1,3,28%,44%,"39,138","34,77",0,0,5:00,3 Rnd (5-5-5),"3,8","6,9","7,13","3,4","32,125","28,68","0,0","3,5","22,112","10,46","14,18","18,22","43,143","48,93"
33%,---,"1,3","0,0",0:56,3:39,Judge,"November 02, 2019","New York City, New York, USA",UFC 244: Masvidal vs. Diaz,L,W,Featherweight Bout,"L,Julio Arce,W,Hakeem Dawodu,""Mean""",Julio Arce,Hakeem Dawodu,Derek Cleary-28 - 29.,Eric Colon-28 - 29.,Chris Lee-29 - 28.,0,0,Decision - Split,0%,---,"0,1","0,0",0:00,0:51,0,0,19%,33%,"6,31","13,39",0,0,"12,39","26,53",Todd Ronald Anderson,0,1,3,25%,39%,"32,124","55,139",0,0,5:00,3 Rnd (5-5-5),"11,22","25,42","4,8","11,14","28,116","40,121","0,0","4,4","21,101","15,79","0,1","15,18","64,162","83,170"
---,66%,"0,0","6,9",0:58,6:02,Judge,"November 09, 2019","Moscow, Moscow, Russia",UFC Fight Night: Zabit vs. Kattar,L,W,Bantamweight Bout,"L,Grigory Popov,W,Davey Grant,""Dangerous""",Grigory Popov,Davey Grant,Lukasz Porebski-28 - 29.,Paul Sutherland-29 - 28.,Howard Hughes-28 - 29.,0,0,Decision - Split,---,100%,"0,0","2,2",0:11,1:56,1,0,39%,57%,"11,28","15,26",0,0,"12,30","16,28",Vyacheslav  Kiselev,2,1,3,39%,47%,"35,88","30,63",0,0,5:00,3 Rnd (5-5-5),"14,22","12,19","4,5","0,2","25,65","27,52","6,18","3,9","16,57","8,32","5,9","10,12","57,111","34,70"
---,22%,"0,0","2,9",0:02,8:47,Judge,"November 16, 2019","Sao Paulo, Sao Paulo, Brazil",UFC Fight Night: Blachowicz vs. Jacare,L,W,Women's Bantamweight Bout,"L,Vanessa Melo,W,Tracy Cortez",Vanessa Melo,Tracy Cortez,Sal D'amato-27 - 30.,Marcelo Vilhena-27 - 30.,Hallison Pontes-27 - 29.,0,0,Decision - Unanimous,---,0%,"0,0","0,1",0:00,0:00,0,0,24%,50%,"21,87","41,82",0,0,"22,88","41,82",Jerin Valel,0,0,3,32%,56%,"40,125","79,140",0,0,5:00,3 Rnd (5-5-5),"7,7","16,18","6,6","12,12","32,117","46,103","2,2","21,25","32,116","53,109","1,2","10,13","76,161","155,224"
100%,---,"1,1","0,0",--,--,Guillotine Choke From Mount,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,"W,Scott Morris,L,Sean Daugherty",Scott Morris,Sean Daugherty,,,,0,0,Submission,100%,---,"1,1","0,0",--,--,0,0,100%,0%,"1,1","0,4",1,0,"2,2","1,5",John McCarthy,0,0,1,100%,0%,"1,1","0,4",1,0,0:20,No Time Limit,"0,0","0,0","1,1","0,1","0,0","0,3","0,0","0,0","1,1","0,2","0,0","0,2","2,2","1,5"
---,0%,"0,0","0,1",--,--,Punches to Head On Ground,"September 09, 1994","Charlotte, North Carolina, USA",UFC 3: The American Dream,W,L,Open Weight Bout,"W,Keith Hackney,""The Giant Killer"",L,Emmanuel Yarborough",Keith Hackney,Emmanuel Yarborough,,,,1,0,KO/TKO,---,0%,"0,0","0,1",--,--,0,0,68%,20%,"34,50","1,5",0,0,"36,52","4,9",John McCarthy,0,0,1,68%,20%,"34,50","1,5",0,0,1:59,No Time Limit,"0,0","0,0","2,3","0,0","6,8","0,2","26,39","1,3","29,45","1,5","5,5","0,0","36,52","4,9"
100%,---,"1,1","0,0",--,--,Punches to Head From Half Guard      Submission to Strikes,"September 09, 1994","Charlotte, North Carolina, USA",UFC 3: The American Dream,W,L,Open Weight Bout,"W,Ken Shamrock,""The World's Most Dangerous Man"",L,Christophe Leninger",Ken Shamrock,Christophe Leninger,,,,0,0,KO/TKO,100%,---,"1,1","0,0",--,--,0,0,88%,50%,"8,9","1,2",0,0,"16,20","21,23",John McCarthy,0,0,1,88%,50%,"8,9","1,2",0,0,4:49,No Time Limit,"3,3","0,0","0,0","0,0","0,1","1,2","8,8","0,0","5,6","1,2","0,0","0,0","16,20","21,23"
0%,50%,"0,1","1,2",--,--,Punches to Head In Clinch,"September 09, 1994","Charlotte, North Carolina, USA",UFC 3: The American Dream,W,L,Open Weight Bout,"W,Harold Howard,L,Roland Payne",Harold Howard,Roland Payne,,,,1,0,KO/TKO,0%,50%,"0,1","1,2",--,--,0,0,75%,75%,"9,12","3,4",0,0,"12,15","3,4",John McCarthy,0,0,1,75%,75%,"9,12","3,4",0,0,0:46,No Time Limit,"0,0","2,2","4,4","1,2","1,4","2,2","4,4","0,0","9,12","0,0","0,0","1,2","12,15","3,4"
0%,100%,"0,2","1,1",--,--,Armbar From Bottom Guard,"September 09, 1994","Charlotte, North Carolina, USA",UFC 3: The American Dream,W,L,Open Weight Bout,"W,Royce Gracie,L,Kimo Leopoldo",Royce Gracie,Kimo Leopoldo,,,,0,0,Submission,0%,100%,"0,2","1,1",--,--,1,1,33%,66%,"2,6","6,9",1,0,"17,21","6,10",John McCarthy,1,1,1,33%,66%,"2,6","6,9",1,0,4:40,No Time Limit,"0,2","2,2","2,6","3,3","0,0","0,1","0,0","3,5","1,1","3,6","1,3","1,1","17,21","6,10"
50%,---,"1,2","0,0",--,--,Rear Naked Choke,"September 09, 1994","Charlotte, North Carolina, USA",UFC 3: The American Dream,W,L,Open Weight Bout,"W,Ken Shamrock,""The World's Most Dangerous Man"",L,Felix Lee Mitchell",Ken Shamrock,Felix Lee Mitchell,,,,0,0,Submission,50%,---,"1,2","0,0",--,--,0,0,100%,100%,"4,4","3,3",1,0,"7,7","21,22",John McCarthy,0,0,1,100%,100%,"4,4","3,3",1,0,4:34,No Time Limit,"2,2","1,1","3,3","3,3","0,0","0,0","1,1","0,0","1,1","0,0","1,1","2,2","7,7","21,22"
100%,---,"1,1","0,0",--,--,Punches to Head From Mount      Submission to Strikes,"September 09, 1994","Charlotte, North Carolina, USA",UFC 3: The American Dream,W,L,UFC 3 Tournament Title Bout,"W,Steve Jennum,L,Harold Howard",Steve Jennum,Harold Howard,,,,0,0,KO/TKO,100%,---,"1,1","0,0",--,--,0,0,54%,33%,"6,11","2,6",0,1,"7,13","3,7",John McCarthy,0,0,1,54%,33%,"6,11","2,6",0,1,1:27,No Time Limit,"0,0","0,0","0,0","1,1","1,2","1,4","5,9","0,1","6,11","2,6","0,0","0,0","7,13","3,7"
0%,---,"0,1","0,0",--,--,Guillotine Choke Standing,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,"W,Patrick Smith,L,Ray Wizard",Patrick Smith,Ray Wizard,,,,0,0,Submission,0%,---,"0,1","0,0",--,--,0,0,100%,100%,"1,1","1,1",1,0,"1,1","2,2",John McCarthy,0,0,1,100%,100%,"1,1","1,1",1,0,0:58,No Time Limit,"1,1","0,0","1,1","0,0","0,0","1,1","0,0","0,0","0,0","0,0","0,0","1,1","1,1","2,2"
100%,---,"1,1","0,0",--,--,Punches to Head From Guard      Submission to Strikes,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,"W,Johnny Rhodes,L,David Levicki",Johnny Rhodes,David Levicki,,,,0,0,KO/TKO,100%,---,"1,1","0,0",--,--,0,0,64%,80%,"11,17","4,5",0,0,"74,86","95,102",John McCarthy,0,0,1,64%,80%,"11,17","4,5",0,0,12:13,No Time Limit,"1,1","0,0","1,1","2,2","1,1","1,2","9,15","1,1","9,15","4,5","1,1","0,0","74,86","95,102"
100%,0%,"1,1","0,1",--,--,Keylock From Half Guard,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,"W,Frank Hamaker,L,Thaddeus Luster",Frank Hamaker,Thaddeus Luster,,,,0,0,Submission,100%,0%,"1,1","0,1",--,--,1,0,66%,---,"2,3","0,0",3,0,"14,15","0,0",John McCarthy,1,0,1,66%,---,"2,3","0,0",3,0,4:52,No Time Limit,"0,0","0,0","0,0","0,0","1,1","0,0","1,2","0,0","2,3","0,0","0,0","0,0","14,15","0,0"
---,100%,"0,0","1,1",--,--,to          Corner Stoppage,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,"W,Orlando Wiet,""The Gladiator"",L,Robert Lucarelli",Orlando Wiet,Robert Lucarelli,,,,0,0,KO/TKO,---,100%,"0,0","1,1",--,--,0,0,66%,33%,"8,12","2,6",0,1,"11,15","2,6",John McCarthy,0,0,1,66%,33%,"8,12","2,6",0,1,2:50,No Time Limit,"1,1","0,1","0,0","0,0","1,3","2,6","7,9","0,0","7,11","1,2","0,0","1,3","11,15","2,6"
100%,---,"1,1","0,0",--,--,Other - Choke From Side Control      Ezekiel Choke,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,"W,Remco Pardoel,""Grizzly"",L,Alberta Cerra Leon",Remco Pardoel,Alberta Cerra Leon,,,,0,0,Submission,100%,---,"1,1","0,0",--,--,0,0,66%,33%,"4,6","1,3",1,0,"20,22","9,11",John McCarthy,0,0,1,66%,33%,"4,6","1,3",1,0,9:51,No Time Limit,"0,0","0,0","0,0","0,0","0,1","1,1","4,5","0,2","4,5","1,3","0,1","0,0","20,22","9,11"
0%,100%,"0,1","1,1",--,--,Triangle Choke From Mount,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,"W,Jason DeLucia,L,Scott Baker",Jason DeLucia,Scott Baker,,,,0,0,Submission,0%,100%,"0,1","1,1",--,--,4,2,60%,0%,"3,5","0,2",5,0,"20,25","14,23",John McCarthy,4,2,1,60%,0%,"3,5","0,2",5,0,6:41,No Time Limit,"1,2","0,0","0,0","0,0","2,4","0,2","1,1","0,0","1,2","0,2","1,1","0,0","20,25","14,23"
100%,---,"1,1","0,0",--,--,Armbar On Ground,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,"W,Royce Gracie,L,Minoki Ichihara",Royce Gracie,Minoki Ichihara,,,,0,0,Submission,100%,---,"1,1","0,0",--,--,0,0,50%,42%,"2,4","3,7",2,0,"110,114","12,16",John McCarthy,0,0,1,50%,42%,"2,4","3,7",2,0,5:08,No Time Limit,"0,0","0,0","0,0","0,0","2,4","0,2","0,0","3,5","0,0","3,6","2,4","0,1","110,114","12,16"
---,0%,"0,0","0,1",--,--,Elbows to Head From Mount,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,"W,Patrick Smith,L,Scott Morris",Patrick Smith,Scott Morris,,,,0,0,KO/TKO,---,0%,"0,0","0,1",--,--,0,0,76%,---,"13,17","0,0",0,0,"19,25","0,0",John McCarthy,0,0,1,76%,---,"13,17","0,0",0,0,0:30,No Time Limit,"1,1","0,0","1,1","0,0","0,0","0,0","12,16","0,0","12,16","0,0","0,0","0,0","19,25","0,0"
---,---,"0,0","0,0",--,--,Other - Choke From Side Control      Side Choke,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,"W,Johnny Rhodes,L,Fred Ettish",Johnny Rhodes,Fred Ettish,,,,1,0,Submission,---,---,"0,0","0,0",--,--,0,0,44%,57%,"13,29","4,7",1,0,"21,38","7,11",John McCarthy,0,0,1,44%,57%,"13,29","4,7",1,0,3:07,No Time Limit,"0,0","2,4","1,2","0,0","3,6","4,7","9,21","0,0","12,28","0,1","1,1","2,2","21,38","7,11"
100%,---,"1,1","0,0",--,--,Elbows to Head From Side Control,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,"W,Remco Pardoel,""Grizzly"",L,Orlando Wiet,""The Gladiator""",Remco Pardoel,Orlando Wiet,,,,0,0,KO/TKO,100%,---,"1,1","0,0",--,--,0,0,100%,50%,"7,7","1,2",0,0,"7,7","5,7",John McCarthy,0,0,1,100%,50%,"7,7","1,2",0,0,1:29,No Time Limit,"0,0","0,0","0,0","0,0","0,0","1,2","7,7","0,0","7,7","0,1","0,0","1,1","7,7","5,7"
---,100%,"0,0","1,1",--,--,Armbar From Mount,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,"W,Royce Gracie,L,Jason DeLucia",Royce Gracie,Jason DeLucia,,,,0,0,Submission,---,100%,"0,0","1,1",--,--,1,0,---,---,"0,0","0,0",1,0,"0,0","0,0",John McCarthy,1,0,1,---,---,"0,0","0,0",1,0,1:07,No Time Limit,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
---,---,"0,0","0,0",--,--,Guillotine Choke Standing,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,"W,Patrick Smith,L,Johnny Rhodes",Patrick Smith,Johnny Rhodes,,,,0,0,Submission,---,---,"0,0","0,0",--,--,0,0,41%,44%,"5,12","4,9",1,0,"5,12","4,9",John McCarthy,0,0,1,41%,44%,"5,12","4,9",1,0,1:07,No Time Limit,"2,2","0,0","2,2","0,0","3,10","4,9","0,0","0,0","1,4","2,5","2,6","2,4","5,12","4,9"
50%,---,"1,2","0,0",--,--,Gi Choke From Back Control,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,Open Weight Bout,"W,Royce Gracie,L,Remco Pardoel,""Grizzly""",Royce Gracie,Remco Pardoel,,,,0,0,Submission,50%,---,"1,2","0,0",--,--,0,0,---,---,"0,0","0,0",1,0,"0,0","0,0",John McCarthy,0,0,1,---,---,"0,0","0,0",1,0,1:31,No Time Limit,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
50%,---,"1,2","0,0",--,--,Punches to Head From Mount      Submission to Strikes,"March 11, 1994","Denver, Colorado, USA",UFC 2: No Way Out,W,L,UFC 2 Tournament Title Bout,"W,Royce Gracie,L,Patrick Smith",Royce Gracie,Patrick Smith,,,,0,0,KO/TKO,50%,---,"1,2","0,0",--,--,0,0,100%,50%,"4,4","1,2",0,0,"11,11","2,3",John McCarthy,0,0,1,100%,50%,"4,4","1,2",0,0,1:17,No Time Limit,"0,0","1,2","1,1","1,1","0,0","0,1","3,3","0,0","3,3","0,0","1,1","0,0","11,11","2,3"
---,66%,"0,0","2,3",8:48,4:39,Judge,"November 16, 2019","Sao Paulo, Sao Paulo, Brazil",UFC Fight Night: Blachowicz vs. Jacare,W,L,Women's Flyweight Bout,"W,Ariane Lipski,""Queen of Violence"",L,Isabela de Padua,""Belinha""",Ariane Lipski,Isabela de Padua,Chris Lee-27 - 30.,Hallison Pontes-27 - 30.,Guilherme Bravo-28 - 29.,1,0,Decision - Unanimous,---,100%,"0,0","1,1",2:09,2:31,0,0,57%,40%,"22,38","8,20",0,0,"56,73","51,70",Fernando Portella,1,0,3,49%,35%,"31,63","15,42",1,1,5:00,3 Rnd (5-5-5),"4,4","0,0","0,0","0,0","18,45","6,26","13,18","9,16","27,58","15,42","0,1","0,0","175,224","90,128"
---,22%,"0,0","2,9",0:28,3:20,Judge,"November 16, 2019","Sao Paulo, Sao Paulo, Brazil",UFC Fight Night: Blachowicz vs. Jacare,W,L,Featherweight Bout,"W,Douglas Silva de Andrade,""D Silva"",L,Renan Barao,""The Baron""",Douglas Silva de Andrade,Renan Barao,Sal D'amato-27 - 30.,Marcelo Vilhena-27 - 30.,Guilherme Bravo-26 - 30.,0,0,Decision - Unanimous,---,100%,"0,0","1,1",0:28,1:03,0,0,48%,39%,"21,43","17,43",0,0,"36,59","42,68",Osiris Maia,0,0,3,45%,36%,"74,163","58,158",0,0,5:00,3 Rnd (5-5-5),"15,27","14,25","4,4","7,8","68,156","49,147","2,3","2,3","51,127","31,115","8,9","13,18","100,190","140,241"
100%,100%,"3,3","1,1",4:18,1:12,Triangle Choke From Bottom Guard,"November 16, 2019","Sao Paulo, Sao Paulo, Brazil",UFC Fight Night: Blachowicz vs. Jacare,L,W,Welterweight Bout,"L,Warlley Alves,W,Randy Brown,""Rudeboy""",Warlley Alves,Randy Brown,,,,0,0,Submission,100%,100%,"2,2","1,1",3:35,1:12,0,1,66%,54%,"2,3","6,11",2,0,"7,10","9,14",Kevin MacDonald,0,1,2,27%,53%,"3,11","16,30",2,1,1:22,3 Rnd (5-5-5),"0,0","3,4","0,0","3,5","1,9","9,18","2,2","4,7","1,8","11,23","2,3","2,3","8,18","24,38"
50%,100%,"1,2","2,2",1:04,3:43,Judge,"November 16, 2019","Sao Paulo, Sao Paulo, Brazil",UFC Fight Night: Blachowicz vs. Jacare,W,L,Lightweight Bout,"W,Francisco Trinaldo,""Massaranduba"",L,Bobby Green,""King""",Francisco Trinaldo,Bobby Green,Sal D'amato-27 - 30.,Marcelo Vilhena-28 - 29.,Guilherme Bravo-28 - 29.,0,0,Decision - Unanimous,50%,---,"1,2","0,0",0:19,3:14,0,0,30%,50%,"4,13","9,18",1,0,"8,17","25,37",Eduardo Herdy,0,0,3,25%,43%,"31,122","50,115",1,0,5:00,3 Rnd (5-5-5),"5,14","13,24","5,13","1,2","26,109","43,106","0,0","6,7","20,100","27,77","6,8","10,14","36,127","67,135"
66%,---,"2,3","0,0",1:06,0:03,Rear Naked Choke,"November 16, 2019","Sao Paulo, Sao Paulo, Brazil",UFC Fight Night: Blachowicz vs. Jacare,W,L,Featherweight Bout,"W,Ricardo Ramos,L,Eduardo Garagorri",Ricardo Ramos,Eduardo Garagorri,,,,0,0,Submission,66%,---,"2,3","0,0",1:06,0:03,0,0,29%,37%,"10,34","6,16",1,0,"12,36","6,16",Camila Albuquerque,0,0,1,29%,37%,"10,34","6,16",1,0,3:57,3 Rnd (5-5-5),"3,4","3,4","0,0","0,0","9,33","6,16","1,1","0,0","3,23","3,11","4,7","0,1","12,36","6,16"
25%,---,"1,4","0,0",2:17,2:11,Punch to Head At Distance,"November 16, 2019","Sao Paulo, Sao Paulo, Brazil",UFC Fight Night: Blachowicz vs. Jacare,L,W,Welterweight Bout,"L,Sergio Moraes,""The Panther"",W,James Krause,""The""",Sergio Moraes,James Krause,,,,0,3,KO/TKO,50%,---,"1,2","0,0",2:17,1:18,0,1,75%,71%,"6,8","10,14",0,0,"7,9","22,28",Fernando Portella,0,1,3,41%,58%,"41,99","102,174",0,0,4:19,3 Rnd (5-5-5),"3,6","7,10","0,0","0,0","41,99","97,166","0,0","5,8","36,91","79,148","2,2","16,16","42,100","125,200"
